"Date","Price","Open","High","Low","Change %"
"03/27/1989","9.429","9.429","9.429","9.429","0.00%"
"03/23/1989","9.429","9.429","9.429","9.429","-0.16%"
"03/22/1989","9.444","9.444","9.444","9.444","-0.85%"
"03/21/1989","9.525","9.525","9.525","9.525","0.00%"
"03/20/1989","9.525","9.525","9.525","9.525","0.38%"
"03/17/1989","9.489","9.489","9.489","9.489","2.05%"
"03/16/1989","9.298","9.298","9.298","9.298","-0.27%"
"03/15/1989","9.323","9.323","9.323","9.323","0.00%"
"03/14/1989","9.323","9.323","9.323","9.323","-0.27%"
"03/13/1989","9.348","9.348","9.348","9.348","0.00%"
"03/10/1989","9.348","9.348","9.348","9.348","1.13%"
"03/09/1989","9.244","9.244","9.244","9.244","0.05%"
"03/08/1989","9.239","9.239","9.239","9.239","-0.22%"
"03/07/1989","9.259","9.259","9.259","9.259","-0.10%"
"03/06/1989","9.268","9.268","9.268","9.268","-0.43%"
"03/03/1989","9.308","9.308","9.308","9.308","-0.11%"
"03/02/1989","9.318","9.318","9.318","9.318","-0.43%"
"03/01/1989","9.358","9.358","9.358","9.358","0.38%"
"02/28/1989","9.323","9.323","9.323","9.323","-0.43%"
"02/27/1989","9.363","9.363","9.363","9.363","-0.21%"
"02/24/1989","9.383","9.383","9.383","9.383","0.21%"
"02/23/1989","9.363","9.363","9.363","9.363","0.81%"
"02/22/1989","9.288","9.288","9.288","9.288","0.91%"
"02/21/1989","9.204","9.204","9.204","9.204","0.00%"
"02/17/1989","9.204","9.204","9.204","9.204","-0.11%"
"02/16/1989","9.214","9.214","9.214","9.214","-0.27%"
"02/15/1989","9.239","9.239","9.239","9.239","0.00%"
"02/14/1989","9.239","9.239","9.239","9.239","0.37%"
"02/13/1989","9.205","9.205","9.205","9.205","0.16%"
"02/10/1989","9.190","9.190","9.190","9.190","0.97%"
"02/09/1989","9.102","9.102","9.102","9.102","1.68%"
"02/08/1989","8.952","8.952","8.952","8.952","-0.19%"
"02/07/1989","8.969","8.969","8.969","8.969","-0.43%"
"02/06/1989","9.008","9.008","9.008","9.008","-0.06%"
"02/03/1989","9.013","9.013","9.013","9.013","0.28%"
"02/02/1989","8.988","8.988","8.988","8.988","-0.11%"
"02/01/1989","8.998","8.998","8.998","8.998","-0.06%"
"01/31/1989","9.003","9.003","9.003","9.003","0.06%"
"01/30/1989","8.998","8.998","8.998","8.998","0.44%"
"01/27/1989","8.959","8.959","8.959","8.959","-0.43%"
"01/26/1989","8.998","8.998","8.998","8.998","0.11%"
"01/25/1989","8.988","8.988","8.988","8.988","0.65%"
"01/24/1989","8.930","8.930","8.930","8.930","-0.76%"
"01/23/1989","8.998","8.998","8.998","8.998","-0.32%"
"01/20/1989","9.027","9.027","9.027","9.027","0.32%"
"01/19/1989","8.998","8.998","8.998","8.998","0.00%"
"01/18/1989","8.998","8.998","8.998","8.998","-0.75%"
"01/17/1989","9.066","9.066","9.066","9.066","0.04%"
"01/13/1989","9.062","9.062","9.062","9.062","-0.85%"
"01/12/1989","9.140","9.140","9.140","9.140","-1.02%"
"01/11/1989","9.234","9.234","9.234","9.234","0.00%"
"01/10/1989","9.234","9.234","9.234","9.234","0.00%"
"01/09/1989","9.234","9.234","9.234","9.234","-0.16%"
"01/06/1989","9.249","9.249","9.249","9.249","-0.22%"
"01/05/1989","9.269","9.269","9.269","9.269","0.54%"
"01/04/1989","9.219","9.219","9.219","9.219","-0.16%"
"01/03/1989","9.234","9.234","9.234","9.234","0.97%"
"12/30/1988","9.145","9.145","9.145","9.145","-0.42%"
"12/29/1988","9.184","9.184","9.184","9.184","-0.27%"
"12/28/1988","9.209","9.209","9.209","9.209","0.75%"
"12/27/1988","9.140","9.140","9.140","9.140","0.82%"
"12/23/1988","9.066","9.066","9.066","9.066","0.00%"
"12/22/1988","9.066","9.066","9.066","9.066","0.00%"
"12/21/1988","9.066","9.066","9.066","9.066","-0.17%"
"12/20/1988","9.081","9.081","9.081","9.081","-0.75%"
"12/19/1988","9.150","9.150","9.150","9.150","-0.27%"
"12/16/1988","9.175","9.175","9.175","9.175","-0.15%"
"12/15/1988","9.189","9.189","9.189","9.189","-0.11%"
"12/14/1988","9.199","9.199","9.199","9.199","0.48%"
"12/13/1988","9.155","9.155","9.155","9.155","0.87%"
"12/12/1988","9.076","9.076","9.076","9.076","0.04%"
"12/09/1988","9.072","9.072","9.072","9.072","0.65%"
"12/08/1988","9.013","9.013","9.013","9.013","0.21%"
"12/07/1988","8.994","8.994","8.994","8.994","0.38%"
"12/06/1988","8.960","8.960","8.960","8.960","-1.82%"
